CLIENT_ID,CLIENT_TYPE
ID131056,Onetime
ID118205,Onetime
ID311897,Healthy
ID653716,Onetime
ID874084,Retirement
ID206388,Business
ID651524,Healthy
ID035087,Business
ID914011,Business
ID864835,Retirement
ID858132,Onetime
ID828642,Onetime
ID658663,Healthy
ID375019,Healthy
ID558966,Business
ID469145,Onetime
ID429345,Healthy
ID406578,Onetime
ID081378,Onetime
ID608362,Healthy
ID776722,Business
ID267830,Onetime
ID577879,Business
ID162553,Onetime
ID302703,Healthy
ID632553,Healthy
ID743998,Onetime
ID080232,Healthy
ID214524,Retirement
ID069102,Business
ID795773,Retirement
ID004702,Healthy
ID039534,Business
ID549130,Retirement
ID341493,Healthy
ID824927,Healthy
ID860048,Onetime
ID729253,Healthy
ID353581,Healthy
ID156779,Business
ID843368,Onetime
ID699566,Retirement
ID838444,Retirement
ID891045,Onetime
ID498576,Onetime
ID826101,Onetime
ID454366,Onetime
ID164036,Business
ID215645,Onetime
ID613465,Onetime
ID219413,Business
ID448085,Business
ID964917,Business
ID030181,Onetime
ID906978,Healthy
ID349602,Onetime
ID194780,Healthy
ID916452,Onetime
ID194999,Business
ID855873,Onetime
ID027066,Business
ID263380,Healthy
ID795219,Healthy
ID839449,Onetime
ID292068,Onetime
ID504537,Onetime
ID556426,Onetime
ID886851,Business
ID699685,Onetime
ID225680,Onetime
ID840036,Onetime
ID712326,Business
ID817585,Business
ID543972,Retirement
ID336719,Business
ID104057,Business
ID172668,Onetime
ID091271,Onetime
ID503285,Healthy
ID090707,Onetime
ID565848,Business
ID143634,Business
ID593388,Onetime
ID487202,Onetime
ID203285,Healthy
ID361546,Onetime
ID860099,Retirement
ID574691,Business
ID173072,Retirement
ID314239,Healthy
ID765863,Onetime
ID908900,Onetime
ID709550,Business
ID938518,Onetime
ID685697,Onetime
ID643534,Business
ID566728,Onetime
ID760901,Onetime
ID013159,Onetime
ID676610,Onetime
ID953000,Onetime
ID718939,Onetime
ID245805,Business
ID014714,Onetime
ID496771,Business
ID815585,Healthy
ID569832,Healthy
ID754361,Onetime
ID622747,Retirement
ID950931,Onetime
ID445790,Business
ID205569,Retirement
ID818034,Healthy
ID878904,Healthy
ID723393,Onetime
ID576013,Onetime
ID080846,Onetime
ID135751,Onetime
ID259985,Onetime
ID142133,Onetime
ID525525,Onetime
ID693054,Onetime
ID029177,Retirement
ID373936,Healthy
ID410977,Healthy
ID959243,Business
ID492970,Onetime
ID315491,Retirement
ID399611,Onetime
ID287324,Onetime
ID747892,Healthy
ID336431,Onetime
ID426370,Retirement
ID346832,Healthy
ID490039,Healthy
ID663719,Business
ID329749,Business
ID909670,Healthy
ID619607,Retirement
ID757558,Onetime
ID147050,Onetime
ID560655,Business
ID253449,Onetime
ID339643,Onetime
ID110590,Retirement
ID979802,Business
ID353699,Healthy
ID527840,Business
ID690507,Retirement
ID037260,Healthy
ID541043,Onetime
ID169360,Retirement
ID696621,Retirement
ID339020,Onetime
ID247235,Healthy
ID606872,Retirement
ID503427,Business
ID821844,Healthy
ID307430,Business
ID891778,Business
ID930955,Healthy
ID246159,Onetime
ID047769,Onetime
ID980998,Onetime
ID355986,Onetime
ID681022,Retirement
ID821529,Business
ID415626,Onetime
ID393806,Business
ID173194,Onetime
ID775686,Onetime
ID507568,Healthy
ID634889,Healthy
ID070642,Retirement
ID135123,Retirement
ID815323,Business
ID468196,Healthy
ID285128,Healthy
ID643545,Onetime
ID367113,Retirement
ID961872,Healthy
ID722328,Onetime
ID728991,Business
ID918225,Healthy
ID568365,Onetime
ID681878,Healthy
ID904832,Onetime
ID193052,Healthy
ID345857,Healthy
ID110509,Onetime
ID846087,Retirement
ID384516,Onetime
ID278260,Onetime
ID775138,Onetime
ID417595,Healthy
ID527140,Onetime
ID910851,Onetime
ID695825,Onetime
ID562166,Healthy
ID383617,Onetime
ID651722,Retirement
ID654876,Business
ID273124,Retirement
ID562051,Retirement
ID674788,Onetime
ID424192,Onetime
ID867491,Onetime
ID141409,Onetime
ID412659,Onetime
ID775804,Healthy
ID451472,Healthy
ID440443,Onetime
ID687050,Business
ID640182,Onetime
ID960622,Healthy
ID920917,Retirement
ID402670,Onetime
ID108617,Business
ID302062,Business
ID527497,Healthy
ID743450,Onetime
ID786629,Onetime
ID801168,Retirement
ID573023,Onetime
ID007603,Retirement
ID843971,Business
ID256258,Healthy
ID808234,Retirement
ID717084,Retirement
ID470863,Retirement
ID802182,Healthy
ID174326,Healthy
ID722711,Retirement
ID166560,Onetime
ID179620,Onetime
ID317716,Business
ID857552,Business
ID263364,Business
ID442680,Retirement
ID988933,Onetime
ID182889,Business
ID466230,Onetime
ID909775,Business
ID292677,Onetime
ID697956,Retirement
ID105995,Onetime
ID641131,Retirement
ID716218,Onetime
ID062997,Retirement
ID809249,Onetime
ID065625,Onetime
ID864521,Onetime
ID452828,Healthy
ID436517,Business
ID043425,Retirement
ID532217,Retirement
ID438855,Retirement
ID664334,Business
ID392419,Healthy
ID698241,Healthy
ID678276,Business
ID770557,Business
ID278735,Business
ID968908,Onetime
ID782803,Business
ID604242,Onetime
ID130737,Healthy
ID604256,Onetime
ID503334,Retirement
ID033488,Business
ID524564,Healthy
ID351062,Onetime
ID506313,Onetime
ID094042,Onetime
ID751664,Onetime
ID862621,Onetime
ID138582,Onetime
ID955380,Onetime
ID029969,Onetime
ID591007,Onetime
ID782197,Onetime
ID419961,Onetime
ID879430,Onetime
ID559487,Retirement
ID554572,Onetime
ID015722,Healthy
ID312119,Business
ID423138,Business
ID950640,Business
ID702166,Onetime
ID045261,Onetime
ID128260,Business
ID769783,Business
ID175587,Business
ID754845,Onetime
ID105994,Healthy
ID858881,Onetime
ID474646,Retirement
ID874062,Healthy
ID458645,Healthy
ID394103,Onetime
ID906061,Onetime
ID142584,Retirement
ID303752,Retirement
ID249722,Business
ID373847,Onetime
ID996443,Retirement
ID611620,Onetime
ID275119,Onetime
ID026992,Healthy
ID860546,Retirement
ID981352,Retirement
ID324705,Business
ID375469,Onetime
ID038691,Onetime
ID132928,Retirement
ID293961,Healthy
ID996169,Onetime
ID804813,Retirement
ID949606,Retirement
ID831231,Retirement
ID890616,Retirement
ID308320,Healthy
ID860229,Retirement
ID706194,Retirement
ID932558,Onetime
ID985737,Onetime
ID760858,Onetime
ID739081,Retirement
ID276485,Healthy
ID773936,Retirement
ID312947,Healthy
ID416995,Retirement
ID331264,Onetime
ID607969,Onetime
ID632073,Onetime
ID100764,Onetime
ID581320,Business
ID614888,Retirement
ID392699,Onetime
ID872096,Onetime
ID303108,Business
ID189252,Retirement
ID976630,Onetime
ID994225,Onetime
ID405368,Onetime
ID064002,Healthy
ID205644,Business
ID464371,Onetime
ID648866,Retirement
ID425531,Onetime
ID264357,Onetime
ID150439,Onetime
ID391843,Business
ID656247,Business
ID003368,Onetime
ID910966,Retirement
ID240157,Onetime
ID410811,Onetime
ID108993,Healthy
ID338464,Retirement
ID196152,Onetime
ID589681,Onetime
ID370563,Retirement
ID167492,Business
ID362582,Onetime
ID578974,Business
ID818508,Onetime
ID187780,Healthy
ID098501,Retirement
ID883610,Healthy
ID186872,Onetime
ID968980,Onetime
ID182729,Business
ID338025,Onetime
ID352222,Onetime
ID768158,Onetime
ID235952,Onetime
ID320161,Onetime
ID671322,Healthy
ID482842,Onetime
ID937841,Business
ID939663,Onetime
ID289919,Retirement
ID785148,Retirement
ID756508,Business
ID949532,Healthy
ID893076,Retirement
ID520567,Retirement
ID566049,Business
ID774327,Retirement
ID399310,Retirement
ID442102,Healthy
ID166931,Business
ID519494,Onetime
ID041511,Onetime
ID396550,Onetime
ID080341,Retirement
ID549838,Business
ID093323,Healthy
ID356696,Healthy
ID943794,Healthy
ID817005,Business
ID013798,Retirement
ID681454,Business
ID855042,Healthy
ID276959,Onetime
ID260695,Business
ID461960,Healthy
ID019390,Onetime
ID407192,Onetime
ID033906,Business
ID899726,Retirement
ID235116,Onetime
ID914121,Business
ID142049,Onetime
ID327537,Onetime
ID802918,Onetime
ID702275,Onetime
ID153334,Healthy
ID227994,Onetime
ID550413,Onetime
ID313828,Business
ID891121,Onetime
ID260758,Healthy
ID136832,Retirement
ID575742,Business
ID670050,Retirement
ID813955,Retirement
ID814408,Retirement
ID397043,Retirement
ID790425,Healthy
ID649454,Onetime
ID145929,Onetime
ID373285,Onetime
ID887467,Onetime
ID441705,Onetime
ID228607,Onetime
ID053015,Retirement
ID423261,Healthy
ID809608,Onetime
ID201960,Onetime
ID497315,Retirement
ID059790,Business
ID556879,Healthy
ID352227,Onetime
ID269190,Retirement
ID830594,Healthy
ID719848,Onetime
ID849063,Onetime
ID698344,Healthy
ID963755,Onetime
ID508105,Onetime
ID657827,Healthy
ID503274,Onetime
ID450504,Retirement
ID879113,Onetime
ID951424,Healthy
ID482322,Retirement
ID529968,Onetime
ID516258,Retirement
ID529275,Onetime
ID203739,Retirement
ID014113,Healthy
ID287644,Onetime
ID101593,Business
ID358449,Healthy
ID746966,Business
ID339187,Onetime
ID993605,Business
ID038067,Onetime
ID492734,Healthy
ID489181,Healthy
ID589266,Onetime
ID791885,Retirement
ID952492,Healthy
ID756668,Business
ID165458,Retirement
ID751773,Onetime
ID744235,Onetime
ID607448,Retirement
ID779786,Onetime
ID565039,Onetime
ID787221,Onetime
ID223619,Business
ID866557,Onetime
ID990659,Business
ID572618,Retirement
ID952298,Business
ID706579,Retirement
ID325776,Retirement
ID611238,Business
ID978351,Retirement
ID156617,Onetime
ID564305,Healthy
ID759478,Healthy
ID081397,Onetime
ID188703,Retirement
ID129608,Onetime
ID233494,Onetime
ID642712,Retirement
ID896108,Business
ID830732,Retirement
ID267022,Business
ID182556,Onetime
ID026629,Business
ID897021,Business
ID637440,Retirement
ID533316,Business
ID504341,Retirement
ID602104,Healthy
ID601913,Business
ID607406,Healthy
ID109987,Onetime
ID657302,Retirement
ID743605,Onetime
ID513993,Onetime
ID487864,Healthy
ID912967,Business
ID454973,Retirement
ID095630,Onetime
ID279003,Onetime
ID225283,Business
ID583659,Onetime
ID693309,Onetime
ID459968,Retirement
ID591946,Onetime
ID345119,Business
ID788274,Onetime
ID387166,Business
ID091014,Business
ID588446,Retirement
ID511567,Onetime
ID864571,Retirement
ID302575,Onetime
ID987838,Healthy
ID161341,Healthy
ID118527,Business
ID661749,Retirement
ID917125,Onetime
ID029021,Healthy
ID499401,Onetime
ID668970,Onetime
ID233149,Onetime
ID909380,Business
ID787429,Onetime
ID712867,Onetime
ID895557,Healthy
ID882233,Onetime
ID753941,Onetime
ID023267,Healthy
ID862599,Retirement
ID448143,Healthy
ID303136,Onetime
ID924227,Onetime
ID300128,Healthy
ID113196,Retirement
ID451151,Retirement
ID311767,Healthy
ID618035,Healthy
ID043351,Healthy
ID939248,Retirement
ID323049,Business
ID673999,Business
ID578066,Onetime
ID343317,Onetime
ID322936,Onetime
ID195852,Onetime
ID315894,Onetime
ID442570,Onetime
ID344702,Healthy
ID555293,Onetime
ID075424,Onetime
ID426698,Business
ID642718,Onetime
ID295501,Retirement
ID453162,Onetime
ID194653,Onetime
ID846405,Business
ID606422,Retirement
ID243220,Business
ID331614,Onetime
ID068964,Business
ID312666,Business
ID950820,Onetime
ID951930,Onetime
ID479723,Business
ID741866,Retirement
ID802497,Retirement
ID843121,Business
ID020979,Business
ID250695,Retirement
ID831187,Healthy
ID733699,Healthy
ID011059,Business
ID758409,Healthy
ID936140,Onetime
ID079209,Retirement
ID548536,Onetime
ID520713,Onetime
ID341767,Healthy
ID122281,Retirement
ID368039,Onetime
ID019166,Onetime
ID607923,Onetime
ID348021,Onetime
ID609269,Business
ID053813,Onetime
ID630802,Onetime
ID848006,Business
ID885750,Onetime
ID251265,Retirement
ID276002,Onetime
ID571222,Onetime
ID820947,Retirement
ID312798,Onetime
ID559857,Retirement
ID967117,Healthy
ID729018,Onetime
ID257401,Healthy
ID219353,Onetime
ID429040,Business
ID939212,Onetime
ID525661,Healthy
ID959875,Onetime
ID577048,Retirement
ID360471,Retirement
ID208125,Onetime
ID550106,Onetime
ID274036,Retirement
ID650810,Healthy
ID026678,Onetime
ID043455,Onetime
ID188281,Onetime
ID992890,Onetime
ID544650,Onetime
ID421694,Onetime
ID484592,Onetime
ID211560,Onetime
ID127997,Retirement
ID732664,Onetime
ID459153,Onetime
ID928134,Onetime
ID888830,Business
ID194589,Business
ID293486,Onetime
ID920960,Retirement
ID014895,Onetime
ID128396,Onetime
ID583313,Retirement
ID017002,Onetime
ID729810,Healthy
ID512860,Healthy
ID343327,Retirement
ID616785,Onetime
ID101597,Onetime
ID186924,Business
ID165032,Healthy
ID877483,Onetime
ID504819,Onetime
ID587338,Onetime
ID614048,Healthy
ID649987,Retirement
ID990338,Business
ID917873,Onetime
ID823635,Onetime
ID482986,Business
ID807987,Retirement
ID716617,Onetime
ID342152,Onetime
ID726194,Onetime
ID330967,Retirement
ID105448,Business
ID334007,Business
ID946339,Business
ID089041,Business
ID381167,Onetime
ID137857,Healthy
ID376151,Retirement
ID471469,Healthy
ID442620,Business
ID493656,Business
ID564401,Healthy
ID338943,Onetime
ID489634,Business
ID567103,Healthy
ID069347,Business
ID817729,Retirement
ID798609,Onetime
ID966925,Business
ID304229,Healthy
ID249772,Business
ID336611,Business
ID732527,Onetime
ID548695,Business
ID583052,Onetime
ID897458,Business
ID607149,Retirement
ID164037,Onetime
ID960578,Onetime
ID628610,Onetime
ID451245,Business
ID646301,Retirement
ID885036,Healthy
ID498667,Onetime
ID398534,Business
ID391003,Onetime
ID253819,Healthy
ID641355,Onetime
ID570660,Retirement
ID686306,Healthy
ID097183,Onetime
ID859824,Retirement
ID220967,Healthy
ID056649,Onetime
ID816532,Retirement
ID744993,Retirement
ID665769,Business
ID766589,Onetime
ID217343,Retirement
ID305674,Healthy
ID843245,Healthy
ID322978,Onetime
ID484841,Healthy
ID553842,Business
ID460045,Onetime
ID676822,Healthy
ID517071,Onetime
ID759652,Onetime
ID720308,Healthy
ID890687,Retirement
ID787854,Business
ID220275,Onetime
ID355251,Business
ID631617,Healthy
ID122565,Healthy
ID302776,Onetime
ID032236,Retirement
ID584514,Retirement
ID080576,Onetime
ID891377,Onetime
ID345793,Onetime
ID515442,Onetime
ID396907,Onetime
ID726505,Business
ID447505,Business
ID000354,Healthy
ID522547,Healthy
ID035265,Onetime
ID243001,Business
ID789183,Onetime
ID134953,Onetime
ID600024,Retirement
ID447018,Healthy
ID273250,Business
ID243771,Healthy
ID838958,Onetime
ID718106,Retirement
ID192544,Retirement
ID033547,Onetime
ID021468,Retirement
ID985285,Business
ID268921,Onetime
ID559285,Onetime
ID969672,Onetime
ID338854,Onetime
ID335742,Retirement
ID726673,Retirement
ID186529,Business
ID999685,Onetime
ID032208,Business
ID616209,Business
ID325024,Healthy
ID015672,Onetime
ID631404,Retirement
ID018203,Business
ID917267,Onetime
ID782243,Business
ID237973,Retirement
ID776208,Business
ID642881,Business
ID261489,Onetime
ID451516,Onetime
ID298936,Business
ID870339,Retirement
ID038938,Onetime
ID067822,Healthy
ID922278,Retirement
ID676440,Onetime
ID878849,Retirement
ID300479,Onetime
ID385672,Retirement
ID380434,Onetime
ID122340,Retirement
ID671233,Onetime
ID351365,Healthy
ID908412,Retirement
ID793493,Healthy
ID630586,Onetime
ID947320,Onetime
ID739643,Healthy
ID175160,Retirement
ID712241,Business
ID155870,Retirement
ID688928,Onetime
ID978547,Healthy
ID761136,Business
ID277091,Healthy
ID356269,Onetime
ID422461,Onetime
ID874593,Onetime
ID375486,Onetime
ID866960,Onetime
ID330029,Business
ID446830,Healthy
ID066366,Retirement
ID537127,Onetime
ID333157,Business
ID053190,Onetime
ID385418,Onetime
ID869773,Healthy
ID601838,Business
ID175131,Healthy
ID677482,Retirement
ID427161,Onetime
ID833842,Business
ID469890,Onetime
ID418706,Onetime
ID638928,Business
ID321256,Onetime
ID253165,Business
ID720957,Business
ID959906,Retirement
ID961698,Retirement
ID602846,Retirement
ID545311,Business
ID584716,Business
ID405515,Retirement
ID224872,Onetime
ID681460,Healthy
ID350812,Business
ID735092,Retirement
ID463225,Healthy
ID755625,Onetime
ID708036,Onetime
ID245830,Retirement
ID463703,Healthy
ID095726,Onetime
ID678946,Healthy
ID332764,Retirement
ID556517,Onetime
ID626251,Business
ID354667,Onetime
ID230398,Onetime
ID652324,Retirement
ID048506,Onetime
ID007976,Business
ID568898,Business
ID741218,Retirement
ID563161,Onetime
ID356475,Business
ID021162,Healthy
ID237381,Retirement
ID214640,Onetime
ID774722,Onetime
ID781985,Retirement
ID479730,Onetime
ID491288,Onetime
ID949453,Healthy
ID323499,Retirement
ID731121,Onetime
ID825852,Onetime
ID668708,Retirement
ID920829,Business
ID884792,Business
ID015637,Onetime
ID248142,Onetime
ID617055,Onetime
ID793847,Onetime
ID625918,Onetime
ID685429,Healthy
ID587585,Retirement
ID273765,Business
ID293684,Onetime
ID742991,Onetime
ID653549,Onetime
ID078653,Onetime
ID825819,Onetime
ID406618,Onetime
ID256136,Onetime
ID434987,Onetime
ID594607,Onetime
ID968970,Onetime
ID647276,Business
ID944193,Retirement
ID066806,Onetime
ID452802,Onetime
ID904129,Business
ID127380,Onetime
ID399828,Healthy
ID228891,Business
ID324227,Healthy
ID094242,Onetime
ID959447,Retirement
ID955330,Onetime
ID926061,Healthy
ID411469,Onetime
ID817994,Business
ID442559,Retirement
ID729897,Onetime
ID419642,Business
ID569894,Onetime
ID833546,Retirement
ID206257,Onetime
ID464154,Healthy
ID449286,Retirement
ID823867,Healthy
ID839633,Retirement
ID774819,Onetime
ID781212,Retirement
ID568589,Retirement
ID022419,Retirement
ID339341,Business
ID000921,Onetime
ID564259,Onetime
ID215342,Onetime
ID192048,Retirement
ID076839,Onetime
ID242866,Onetime
ID158132,Onetime
ID692756,Retirement
ID430171,Onetime
ID986671,Retirement
ID070083,Healthy
ID031334,Healthy
ID320139,Business
ID222784,Onetime
ID757140,Retirement
ID805722,Retirement
ID262940,Business
ID725122,Onetime
ID878722,Business
ID191846,Retirement
ID978239,Healthy
ID846268,Onetime
ID366103,Healthy
ID225219,Onetime
ID192713,Onetime
ID154467,Onetime
ID697780,Healthy
ID311900,Business
ID393719,Healthy
ID559205,Onetime
ID724224,Healthy
ID642942,Onetime
ID171249,Onetime
ID212069,Healthy
ID849190,Onetime
ID339243,Business
ID007039,Healthy
ID406364,Onetime
ID817066,Retirement
ID331721,Retirement
ID953794,Onetime
ID570301,Onetime
ID344783,Business
ID742181,Onetime
ID715926,Onetime
ID871122,Healthy
ID791681,Onetime
ID709281,Retirement
ID379565,Retirement
ID097881,Healthy
ID163397,Retirement
ID738439,Business
ID342691,Retirement
ID615390,Onetime
ID448926,Onetime
ID602015,Healthy
ID274914,Onetime
ID118904,Healthy
ID107813,Onetime
ID291714,Business
ID911299,Business
ID743272,Healthy
ID081608,Onetime
ID004287,Healthy
ID644246,Retirement
ID470472,Healthy
ID355869,Onetime
ID380377,Retirement
ID624418,Onetime
ID941711,Onetime
ID854661,Retirement
ID242776,Onetime
ID094380,Onetime
ID602354,Business
ID686547,Business
ID516217,Healthy
ID494486,Onetime
ID014794,Healthy
ID568423,Onetime
ID482641,Healthy
ID104102,Onetime
ID801480,Onetime
ID664367,Healthy
ID207017,Retirement
ID812293,Business
ID328251,Business
ID465417,Onetime
ID871842,Onetime
ID218918,Retirement
ID377440,Healthy
ID655263,Healthy
ID629736,Onetime
ID534499,Healthy
ID895662,Onetime
ID018672,Retirement
ID540533,Healthy
ID638787,Onetime
ID967838,Onetime
ID254743,Onetime
ID414501,Business
ID036796,Healthy
ID313148,Onetime
ID984141,Onetime
ID956106,Onetime
ID314130,Business
ID640279,Business
ID416714,Healthy
ID330018,Healthy
ID745647,Healthy
ID575666,Business
ID869511,Onetime
ID425845,Business
ID178742,Onetime
ID976241,Healthy
ID477903,Healthy
ID599862,Retirement
ID062765,Retirement
ID784810,Onetime
ID064731,Onetime
ID525579,Business
ID732178,Retirement
ID395269,Business
ID661594,Onetime
ID121656,Onetime
ID292518,Onetime
ID120036,Healthy
ID703609,Business
ID569417,Business
ID785564,Business
ID738381,Healthy
ID964218,Onetime
ID039178,Onetime
ID168505,Onetime
ID767140,Retirement
ID033646,Retirement
ID027364,Onetime
ID085864,Retirement
ID148693,Onetime
ID503749,Onetime
ID212709,Onetime
ID827161,Onetime
ID516222,Business
ID848887,Healthy
ID468641,Healthy
ID758764,Onetime
ID810165,Onetime
ID539566,Retirement
ID505480,Business
ID529912,Retirement
ID870352,Retirement
ID076181,Business
ID226143,Onetime
ID262759,Onetime
ID870056,Healthy
ID662878,Onetime
ID813723,Onetime
ID961444,Business
ID258824,Retirement
ID208306,Business
ID014745,Healthy
ID446127,Onetime
ID923615,Onetime
ID580721,Healthy
ID629376,Retirement
ID385472,Retirement
ID679063,Healthy
ID430167,Onetime
ID401552,Healthy
ID586292,Retirement
ID121344,Onetime
ID163876,Healthy
ID147749,Onetime
ID520239,Retirement
ID571474,Business
ID471379,Onetime
ID331817,Healthy
ID287049,Onetime
ID186381,Business
ID443520,Onetime
ID437502,Business
ID725651,Retirement
ID446366,Onetime
ID274282,Healthy
ID488296,Onetime
ID169066,Healthy
ID140384,Healthy
ID335879,Onetime
ID139570,Onetime
ID809105,Healthy
ID345003,Business
ID559323,Business
ID549629,Onetime
ID619312,Business
ID509583,Onetime
ID252720,Onetime
ID560525,Business
ID694586,Business
ID345051,Onetime
ID387109,Onetime
ID852019,Business
ID674533,Healthy
ID105993,Healthy
ID036138,Onetime
ID285812,Healthy
ID347190,Onetime
ID335281,Retirement
ID745315,Business
ID786817,Healthy
ID779867,Healthy
ID324300,Retirement
ID976315,Onetime
ID442182,Onetime
ID339305,Retirement
ID581055,Healthy
ID394704,Healthy
ID978843,Healthy
ID098945,Business
ID004015,Healthy
ID602103,Onetime
ID790217,Onetime
ID667554,Business
ID367441,Retirement
ID532207,Onetime
ID879921,Onetime
ID750764,Retirement
ID588976,Onetime
ID996741,Business
ID216139,Business
ID145468,Business
ID187831,Healthy
ID649876,Onetime
ID937429,Business
ID660078,Onetime
ID935845,Onetime
ID592406,Business
ID402040,Retirement
ID716108,Healthy
ID436647,Retirement
ID275098,Retirement
ID947237,Healthy
ID111468,Business
ID969328,Onetime
ID846160,Onetime
ID196445,Business
ID892233,Healthy
ID690284,Onetime
ID171746,Retirement
ID033845,Onetime
ID709723,Onetime
ID763754,Onetime
ID757853,Business
ID070596,Retirement
ID182858,Healthy
ID980428,Healthy
ID795151,Onetime
ID736900,Onetime
ID781072,Onetime
ID174528,Retirement
ID616039,Healthy
ID329233,Retirement
ID391281,Business
ID777198,Business
ID541290,Business
ID563203,Onetime
ID524212,Onetime
ID249503,Onetime
ID135824,Retirement
ID149754,Business
ID542546,Healthy
ID795914,Onetime
ID968210,Retirement
ID840517,Retirement
ID982194,Healthy
ID402867,Retirement
ID877057,Onetime
ID310887,Business
ID443858,Onetime
ID495080,Business
ID015616,Business
ID925959,Onetime
ID061065,Healthy
ID580029,Healthy
ID128468,Business
ID863067,Business
ID740925,Onetime
ID067203,Healthy
ID649863,Retirement
ID222756,Business
ID560421,Healthy
ID470134,Healthy
ID390947,Business
ID698201,Onetime
ID495663,Retirement
ID749712,Healthy
ID180821,Onetime
ID055652,Healthy
ID995019,Onetime
ID536178,Retirement
ID212843,Retirement
ID943567,Healthy
ID318706,Healthy
ID598903,Onetime
ID849779,Healthy
ID526160,Healthy
ID592379,Retirement
ID636922,Onetime
ID691799,Retirement
ID341238,Onetime
ID732525,Business
ID861213,Healthy
ID977898,Business
ID104217,Business
ID478830,Retirement
ID852789,Onetime
ID877009,Onetime
ID473807,Business
ID738232,Retirement
ID614110,Onetime
ID091140,Onetime
ID462302,Healthy
ID455552,Onetime
ID819320,Healthy
ID427444,Onetime
ID536656,Business
ID933683,Retirement
ID915557,Business
ID615537,Retirement
ID078764,Onetime
ID446629,Healthy
ID357322,Retirement
ID513770,Retirement
ID404407,Retirement
ID370228,Onetime
ID977072,Onetime
ID485682,Onetime
ID236537,Onetime
ID525933,Healthy
ID393710,Business
ID868749,Retirement
ID471215,Onetime
ID513000,Onetime
ID021970,Business
ID329746,Onetime
ID010693,Retirement
ID000469,Healthy
ID672631,Onetime
ID015503,Onetime
ID142119,Onetime
ID445282,Onetime
ID123165,Onetime
ID954343,Healthy
ID201043,Business
ID318159,Onetime
ID739476,Healthy
ID121164,Onetime
ID810589,Retirement
ID482274,Onetime
ID546002,Onetime
ID642906,Healthy
ID959888,Retirement
ID681077,Onetime
ID746423,Business
ID561559,Onetime
ID452744,Business
ID577050,Healthy
ID724948,Business
ID411944,Onetime
ID001625,Retirement
ID900013,Healthy
ID804657,Business
ID337789,Onetime
ID370532,Onetime
ID270016,Onetime
ID630360,Onetime
ID725323,Onetime
ID189295,Onetime
ID909258,Retirement
ID365514,Onetime
ID825936,Onetime
ID124378,Retirement
ID701933,Onetime
ID948156,Business
ID723990,Onetime
ID329898,Business
ID256150,Retirement
ID322058,Onetime
ID443573,Retirement
ID303376,Healthy
ID581217,Retirement
ID425812,Business
ID561848,Onetime
ID668386,Business
ID655265,Onetime
ID327729,Onetime
ID280077,Onetime
ID319952,Healthy
ID308128,Retirement
ID902537,Healthy
ID039578,Onetime
ID903659,Onetime
ID484683,Healthy
ID833992,Business
ID598496,Business
ID688637,Healthy
ID711148,Healthy
ID020262,Healthy
ID598525,Onetime
ID009978,Healthy
ID458480,Onetime
ID727214,Business
ID845719,Onetime
ID392292,Healthy
ID520660,Business
ID692610,Retirement
ID897594,Retirement
ID460680,Business
